,id,document_id,text_1,text_2,annotator_a,annotator_b,annotator_c,annotator_d,annotator_e,mean_label,ClinicalBERT_SIM,BioBERT_SIM,BlueBERT_SIM,BERT_SIM,Sentence_1_SIM,Sentence_2_SIM,Sentence_3_SIM
0,0,1,It has recently been shown that Craf is essential for Kras G12D-induced NSCLC.,It has recently become evident that Craf is essential for the onset of Kras-driven non-small cell lung cancer. ,4,4,4,4,4,1.0,0.8252397775650024,0.9215909242630005,0.9410569071769714,0.8493933081626892,0.6633597016334534,0.9809892773628235,0.8271470665931702
1,2,3,Previous studies demonstrated that the decrease level of 5 hmC in tumors was due to the reduced expression of TET1/2/3 and IDH2 genes or tumor derived IDH1 and IDH2 mutations.,"In addition, genetic and functional studies suggest that neomorphic IDH mutations contribute to myeloid transformation, at least in part, by inhibiting TET enzymatic function. ",2,2,3,2,2,0.5625,0.8051700592041016,0.9306952357292175,0.9111742377281189,0.8190690875053406,0.4944283068180084,0.9366411566734314,0.5633732676506042
2,3,4,"More recently, IDH mutations and resultant 2-hydroxyglutarate (2HG) production in leukemia cells were reported to induce global DNA hypermethylation through impaired TET2 catalytic function.","It has also been recently reported that mutations of the isocitrate dehydrogenase genes IDH1 and IDH2 can lead to the aberrant production of 2-hydroxyglutarate (2-HG), a metabolite that inhibits TET2 enzymatic activity, resulting in a hypermethylated promoter phenotype in acute myeloid leukemia (AML) tumors carrying IDH1/2 mutations.",3,3,4,3,3,0.8125,0.9262340068817139,0.9722720384597778,0.9500668048858643,0.9469859600067139,0.7800031900405884,0.9814890027046204,0.809556245803833
3,4,5,Recent in vitro studies using shRNA-based approaches have suggested a role for TET2 in regulating myeloid differentiation and in regulating stem/progenitor cell proliferation.,Two recent studies used RNAi-mediated Tet2 knock-down in vitro to suggest that TET2 depletion led to impaired hematopoietic differentiation and to preferential myeloid commitment.,3,3,4,3,3,0.8125,0.8887616991996765,0.9666959643363953,0.9547451138496399,0.934581995010376,0.7661221623420715,0.9730889797210693,0.7459081411361694
4,5,6,"Recently, it was reported that expression of IDH1R132H suppresses TET2 activity and the mutations of IDH1 and IDH2 genes occur in a mutual exclusive manner with that of TET2 gene in AML.","This large-scale study showed that IDH1/IDH2 mutations were mutually exclusive with inactivating TET2 mutations, suggesting that the two types of mutations had similar effects and were thus functionally redundant.",3,3,4,3,3,0.8125,0.9075506329536438,0.9406869411468506,0.9474237561225891,0.9179216027259827,0.7882794141769409,0.9615738987922668,0.7554420828819275
5,9,10,n view of the evidence that many tumors occurring in nature arise from the selection of cells with genetic and/or epigenetic changes.,"The phenomena of neoplastic development and neoplastic transformation, whether they occur in vivo or in vitro, are thought to represent the accumulation of a series of genetic and epigenetic alterations that disrupt the normal processes of cell division and tissue integrity.",3,3,3,3,3,0.75,0.896336019039154,0.949894368648529,0.9184752702713013,0.8885622620582581,0.6741927266120911,0.9574953317642212,0.7607946395874023
6,10,11,"The phenomena of neoplastic development and neoplastic transformation, whether they occur in vivo or in vitro, are thought to represent the accumulation of a series of genetic and epigenetic alterations that disrupt the normal processes of cell division and tissue integrity.",Neoplastic development represents cumulative genetic and epigenetic events leading to the emergence of cells that can attain a tumorigenic phenotype.,3,3,3,3,3,0.75,0.9140979647636414,0.9617272019386292,0.9431120753288269,0.9223531484603882,0.7717487812042236,0.9764761328697205,0.7519890069961548
7,11,12,Tumorigenesis is a multistage process that involves multiple cell types.,"Previous studies have suggested a number of hallmark functions that need to be acquired for a cancer to generate, helping researchers understand the complexity in tumor progression in a way of logical, scientific manner.",1,1,1,1,1,0.25,0.794288158416748,0.906722366809845,0.7674915790557861,0.7439193725585938,0.4773399829864502,0.9201173186302185,0.4989682137966156
8,12,13,"Furthermore, transiently expressed exogenous LATS2 is localized to centrosomes.",LATS1 and LATS2 have been detected on interphase and mitotic centrosomes ,3,3,3,3,3,0.75,0.7804211974143982,0.9211610555648804,0.8823555111885071,0.8986473083496094,0.7891436219215393,0.9508443474769592,0.6817736625671387
9,13,14,"Since in S. cerevisiae DBF2 was shown to be associated with anaphase and/or telophase progression, we examined whether the deletion of the kinase would also affect cell cycle progression in N. crassa ","Taking into consideration the role that DBF2 homologs have been shown to play in cell cycle progression, predominant localization of DBF-2 in N.crassa is expected.",2,2,2,2,2,0.5,0.9008626937866211,0.9446820020675659,0.9327681064605713,0.9247175455093384,0.6574016809463501,0.9548671245574951,0.7347115278244019
10,14,15,"Several computational target prediction approaches, such as TargetScan, PicTar, miRanda, PITA, DIANA-microT and RNAhybrid, have been developed to predict target genes. ","Three programs, PicTar, miRanda, and TargetScan , were used to predict the targets of miR-21.",2,2,3,2,3,0.5625,0.9001489281654358,0.959674596786499,0.9154706597328186,0.8793695569038391,0.6317744851112366,0.9651511907577515,0.8643524646759033
11,15,16,Several lines of evidence suggest that the known principal RB pathway lesions in human tumors act in a mutual exclusive manner.,"In individual human tumor specimens, these principal components of the pathway—RB-CDK4/6-p16INK4A—are reported to be targeted in a mutually exclusive manner.",3,3,4,3,4,0.8125,0.8544432520866394,0.947718620300293,0.8907535672187805,0.867141842842102,0.6584144830703735,0.95860755443573,0.722949743270874
12,16,17,"The Retinoblastoma protein, pRb, was among the first recognized tumor suppressor proteins, and loss or repression of pRb function is thought to play a causative role in most human cancers.",Mutation of the retinoblastoma tumor susceptibility gene (RB1) is the rate-limiting step in the genesis of retinoblastoma and over 90% of human tumors exhibit reduced pRB function.,3,3,3,3,3,0.75,0.874740719795227,0.9623789191246033,0.9454193711280823,0.9156066179275513,0.7938545346260071,0.9548187255859375,0.7661405801773071
13,17,18,"For example, loss of, or functional alterations in, the two major tumor suppressor proteins pRB and p53 cause an up-regulation of ribosome biogenesis in cancer tissues.","E2F1 stabilizes p53 by inducing the expression of p19(p14)/ARF, an inhibitor of the mdm2 ubiquitin ligase that targets p53 for proteolysis.",2,2,2,2,2,0.5,0.8132573366165161,0.931835412979126,0.9193719625473022,0.8861380219459534,0.5108229517936707,0.9239009022712708,0.43469923734664917
