true_code,text,predicted_code,similarity_score,predicted,in_top_5
R935,abdominal finding,R935,0.9325838,1,1
D214,abdominal pain- fibroid,R10816,0.9295595,0,0
S60412A,abrasion,K031,0.9771719,0,0
S90519A,abrasion,K031,0.9771719,0,0
S40212A,abrasion left shoulder,S40212D,0.9663021,0,1
T391X2A,acetaminophen,T398X2A,0.89407766,0,0
A1802,active inflammation,A711,0.9071005,0,0
M86169,acute osteomyelitis involving the tibia,M86072,0.95587146,0,0
H6500,Acute serous otitis media,H6503,0.9753312,0,1
E2749,adrenal hemorrhage,P544,0.9540385,0,0
F10220,Alcohol dependence with intoxication,F10221,0.97090083,0,1
L234,Allergic contact dermatitis due to dyes,L234,1.0000004,1,1
Z0182,allergy test,Z0182,0.9354869,1,1
S38221A,amputation,T8781,0.9248623,0,0
S58019A,amputation,T8781,0.9248623,0,0
Z96669,ankle replacement,M87871,0.8982581,0,0
R760,antiphospholipid antibody,D6861,0.9628015,0,0
M19042,"Arthritis [left hand, spine and left knee",M05642,0.955039,0,0
K523,ascending colon and transverse colon suggesting a indeterminate colitis,K523,0.95514274,1,1
B449,aspergillosis,B442,0.955214,0,0
R41840,Attention deficit,R41840,0.95649564,1,1
C44711,Basal cell carcinoma of skin in the left lower leg,C44719,0.9773315,0,1
D351,Benign neoplasm of parathyroid gland,D351,1.0000002,1,1
D334,benign neoplasm of spinal cord,D334,1.0,1,1
D34,Benign neoplasm of thyroid gland,D34,0.99999994,1,1
Z634,Bereavement,J632,0.90512145,0,0
D561,beta thalassemia,D561,1.0000002,1,1
S91159A,bite,S31835A,0.92435116,0,0
H01004,Blepharitis left upper eyelid,H02524,0.97994876,0,0
S00429A,blister,S00522D,0.92965317,0,0
S60422A,blister,S00522D,0.92965317,0,0
S80822A,blister in the left lower leg,S80822D,0.957157,0,1
P545,bruising,P123,0.9227322,0,0
T23301A,burn to right hand,T23261D,0.93834305,0,0
T2131XA,burning sensation that radiates to her chest,R071,0.9309057,0,0
M50823,C6-C7,G8253,0.9221881,0,1
C7A021,cecal carcinoid,C7A021,0.9493859,1,1
L03111,cellulitis right axilla,L03111,0.9949941,1,1
G542,cervical irritation,M542,0.9268332,0,0
R063,Cheyne-Stokes breathing,K131,0.8813027,0,1
Q0700,Chiari malformation,I820,0.912858,0,1
A568,chlamydia cover for STD,A562,0.9181823,0,0
M948X9,chondritis,H61031,0.9493991,0,0
I82502,Chronic left leg deep vein thrombosis,I82592,0.9702405,0,1
Z439,cleans,Y93G1,0.9071852,0,0
S52539A,colles' fracture,S52531M,0.9313019,0,0
S83239A,complex tear,S83231D,0.912475,0,0
Q159,Congenital anomaly of eye [right eye,Q1389,0.94146264,0,1
S0010XA,contusion,S0083XS,0.93837476,0,0
S00531A,contusion,S0083XS,0.93837476,0,0
S36029A,contusion,S0083XS,0.93837476,0,0
S36520A,contusion,S0083XS,0.93837476,0,0
Z9861,coronary angioplasty,Z9861,0.9349147,1,1
D444,craniopharyngioma,C752,0.93686557,0,1
A8100,Creutzfeldt-Jakob disease,A8101,0.98546636,0,1
D734,cyst within the inferior pole of the spleen,D734,0.9505832,1,1
O368190,decreased fetal movement,O368121,0.965145,0,0
P783,diarrhea,K591,0.934716,0,1
T460X2A,digoxin,T460X6A,0.90625256,0,0
S43206A,dislocation,S032XXD,0.9346167,0,0
S63256A,dislocation,S032XXD,0.9346167,0,0
S62619A,"Displaced fracture, right index finger proximal phalanx",S62610S,0.9867606,0,0
F441,Dissociative Fugue,F441,0.99999976,1,1
O99324,Drug use complicating childbirth,O99324,1.0000001,1,1
O99321,"Drug use complicating pregnancy, first trimester",O99321,0.99999994,1,1
Q632,ectopic kidney pyelonephritis,Q632,0.969253,1,1
S140XXA,edema,J384,0.95431215,0,0
H05221,edema is seen within the right orbit,H05221,0.98334646,1,1
J918,"effusion, pleural",J910,0.9470381,0,1
K134,eosinophilic granuloma,K200,0.9431118,0,0
E0781,euthyroid sick syndrome,E0781,0.9880698,1,1
Z552,Examination failed,Z552,0.9654847,1,1
Q766,extra rib,R392,0.9093441,0,0
O4700,false labor,O479,0.95559263,0,1
N365,FALSE PASSAGE,N365,0.9581399,1,1
T24112A,First Degree Burn to Left Thigh,T24112D,0.98204154,0,1
Z463,fitting dentures,Z463,0.9090809,1,1
T17528A,Food,R638,0.9132142,0,0
S0292XA,fracture,S025XXK,0.923613,0,0
S12400A,fracture,S025XXK,0.923613,0,0
S12600A,fracture,S025XXK,0.923613,0,0
S2221XA,fracture,S025XXK,0.923613,0,0
S32473A,fracture,S025XXK,0.923613,0,0
S82113A,fracture,S025XXK,0.923613,0,0
S82123A,fracture,S025XXK,0.923613,0,0
S82841A,fracture,S025XXK,0.923613,0,0
S92243A,fracture,S025XXK,0.923613,0,0
F642,GENDER IDENTITY DISORDER OF CHILDHOOD,F642,1.0000004,1,1
Z8632,gestational diabetes,O24414,0.95189214,0,1
D550,Glucose-6-phosphate dehydrogenase deficiency anemia,D550,0.9782263,1,1
M10079,gout in his foot,M10072,0.93563926,0,0
H5319,halo,E873,0.8789234,0,0
M2040,Hammertoes R foot,M2041,0.90170085,0,0
H30819,Harada's disease,H30812,0.96061695,0,1
N897,hematocolpos,N897,0.9999997,1,1
R1912,hyperactive bowel sounds,R1912,0.99999964,1,1
E7211,hyperhomocysteinemia,E221,0.93103504,0,1
M852,hyperostosis frontalis interna,M852,0.92472863,1,1
I421,Hypertrophic obstructive cardiomyopathy,I421,0.9984077,1,1
H20059,hypopyon,H20051,0.9625522,0,1
O2650,Hypotension,I953,0.9600979,0,0
I82429,iliac vein acute deep vein thrombosis,I82429,0.953058,1,1
M6510,infectious tenosynovitis,M65122,0.9259754,0,0
S0500XA,injury,P153,0.9224981,0,0
S062X3A,injury,P153,0.9224981,0,0
S2090XA,injury,P153,0.9224981,0,0
S3098XA,injury,P153,0.9224981,0,0
S37819A,injury,P153,0.9224981,0,0
S50919A,injury,P153,0.9224981,0,0
S79911A,INJURY TO RIGHT HIP,M25551,0.9567127,0,0
S86002A,injury to the left Achilles tendon,S86092A,0.9662572,0,1
S00469A,insect bite,S30861D,0.9411288,0,0
M4646,Interval progression at L2-3 discitis-osteomyelitis,M4627,0.9164194,0,0
C469,Kaposi's Sarcoma,C460,0.9825483,0,0
Z96659,knee arthroplasty,M02262,0.9199183,0,0
M4627,L5-S1 diskitis/osteomyelitis,M4627,0.944207,1,1
S01419A,laceration,S3733XD,0.9326875,0,0
S06320A,laceration,S3733XD,0.9326875,0,0
S21019A,laceration,S3733XD,0.9326875,0,0
S3141XA,laceration,S3733XD,0.9326875,0,0
S3511XA,laceration,S3733XD,0.9326875,0,0
S3633XA,laceration,S3733XD,0.9326875,0,0
S65419A,laceration,S3733XD,0.9326875,0,0
S65516A,laceration,S3733XD,0.9326875,0,0
S71019A,laceration,S3733XD,0.9326875,0,0
S96029A,laceration,S3733XD,0.9326875,0,0
S83013A,lateral patella subluxation,S83012D,0.9656662,0,0
F819,learning disability,F72,0.9094912,0,0
I444,left anterior fascicular block,I444,1.0000005,1,1
Q602,Left renal agenesis,Q600,0.97643197,0,1
