true_code,text,predicted_code,similarity_score,predicted,in_top_5
M2550,Polyarthralgia,M064,0.9536197,0,0
L97519,Lt diabetic foot ulcer,E11621,0.91922295,0,0
K219,"reflux, Gastroesophageal",K219,0.9475006,1,1
R54,CKD given his advanced age,N184,0.91972154,0,0
M79669,calf area pain,L97211,0.91079736,0,0
R4701,aphasic dysphagia,R491,0.9359567,0,1
K3184,gastroparesis and gastric outlet obstruction secondary to food,K3184,0.93940777,1,1
U071,COVID with Hypoxia,J9621,0.91635585,0,0
N390,"UTI, respiratory faiulre ",Z87440,0.91475695,0,0
F10129,EtOH intoxication,F10220,0.9275934,0,0
J189,community acquired pneumonia with superimposed methicillin-resistant Staphylococcus aureus,J15212,0.9550023,0,0
L84,corn diet since she is allergic,L236,0.9193891,0,0
Z9841,bilateral cataract extraction.Paranasal sinus,H59093,0.9295194,0,1
H6122,cerumen impaction of left ear,H6122,0.9754747,1,1
R21,rash on the left forehead,H01131,0.9251167,0,0
L03119,"Cellulitis, L leg",L03116,0.96186745,0,0
N2889,renal obstruction,N132,0.9456492,0,0
I2510,Cardiac Cath- Ectatic Large Coronaries -Mild CAD,I25708,0.9018235,0,0
Z794,on insulin drip therapy,E232,0.9037265,0,1
L02214,Abscess: [  right groin,H6001,0.95141894,0,0
E871,Hyponatremia: Poor oral,E871,0.93873024,1,1
R0602,shortness of breath since last night with associated hemoptysis,R0602,0.93398905,1,1
U071,"Covid 19, food",U071,0.95088494,1,1
L8990,pressure ulcer that wound,L98491,0.93224764,0,0
I96,Left second toe gangrene,I70262,0.9269376,0,0
K222,Esophageal stenosis,Q393,0.942993,0,1
E119,diabetic foot-gangrenous toe,E1152,0.9406167,0,0
I509,cardiac failure,P290,0.9456625,0,0
I10,"HTN, ""leaky valve",I110,0.88231695,0,0
M25511,right shoulder and knee pain,M25511,0.9735899,1,1
R42,"dizziness, pain ",R42,0.9357007,1,1
Z9049,colectomy,K51518,0.91093993,0,0
R0989,lungs mild rales,H401211,0.9082222,0,0
R945,mild elevated liver enzymes,R7401,0.94299567,0,1
E041,Left thyroid nodules,M06342,0.92509496,0,0
J029,"sore throat, patient has a brother who has coded 19 infection.",B951,0.8928131,0,0
J9811,atelectasis at the left lung base,J9811,0.9555151,1,1
M79602,Pain in left arm,M79602,1.0,1,1
M419,scoliosis of the lumbar spine,M41126,0.94499123,0,0
R1110,vomiting w/diarrhea,R1113,0.9220511,0,0
L0390,Scrotal cellulitis,L03314,0.9436519,0,0
T1590XA,Foreign Body in Eye,H578A2,0.9529623,0,0
R6520,Severe sepsis with multiorgan failure,R6521,0.9583869,0,1
K8520,Acute alcoholic pancreatitis,K860,0.9555495,0,1
I10,"Hypertension,  currently controlled",H40051,0.89955217,0,0
R599,Pelvic sidewall adenopathy,N80342,0.9245372,0,0
G893,pain associated with his cancer,G893,0.9473328,1,1
K8590,"pancreatitis: WBC 28.4, fever ",K8590,0.9100245,1,1
I959,"hypotension, cr stable",I953,0.91846126,0,0
M726,Necrotizing fasciitis of the perineum right,M726,0.96598566,1,1
L8994,stage 4 decub ulcer,L8994,0.93504524,1,1
R112,pain n/v,F4542,0.9164106,0,0
K5730,Severe diverticulosis noted in the sigmoid colon,K5741,0.9391483,0,0
J939,right apical pneumothorax,S270XXA,0.8986725,0,0
C069,cancer (on oral,Z1281,0.9204346,0,0
L989,skin lesion ruptured,M66122,0.9088458,0,0
N189,chronic kidney disease - cardiorenal syndrome,E1022,0.92946565,0,0
M8580,osteopenia with acute appearing moderate,J4541,0.9085611,0,0
C9590,prolymphocytic leukemia,C9161,0.9543953,0,0
R109,intermittent R flank pain,G90521,0.902861,0,0
R109,abdominal pain after oral,R1084,0.90907913,0,0
R4701,neurological deficits including acute onset aphasia,R4701,0.9426404,1,1
I248,demand ischemia secondary to tachycardia,T82867D,0.9030932,0,0
B9562,wound culture showed MRSA,Z22322,0.90282184,0,1
R109,abdominal pain is midline,R10813,0.9182678,0,0
Z8673,left thalamic lacunar infarct,I63012,0.9112545,0,0
Z8572,"non-Hodgkin's lymphoma, atrial",C8597,0.9274384,0,0
N390,UTI with elevated leukocytosis,R8279,0.91728586,0,0
R410,Neurological examinatin pertinent for disorientation,Z13858,0.9127358,0,1
R202,paresthesias to extremities,R202,0.96094525,1,1
R3989,pain improved after catheterization of his bladder,R3982,0.9205899,0,0
E785,"HLD, thyroid",E069,0.9128922,0,0
K7460,mild cirrhosis,N870,0.9219797,0,0
H938X9,EAR ACHE-LEG SWELLING,R1902,0.9062762,0,0
M25531,right wrist/hand pain,M25531,0.9865618,1,1
R42,Vertigo likely benign,H8112,0.9358398,0,0
R52,generalized body aches and right ear,H6241,0.9363133,0,0
M169,right hip degenerative joint disease,M25551,0.9455949,0,0
K769,alcohol liver disease,K700,0.95719975,0,0
R1110,vomiting with reccurrent diarrhea,K51211,0.90451133,0,0
J9600,Acute respiratory failure -  interstitial,J84114,0.9502443,0,0
F1410,cocaine abuse as well as drug intoxication,F14120,0.95709425,0,0
Z930,"Tracheostomy tube, right internal jugular central venous",I82C11,0.9053824,0,0
J189,"sepsis secondary to community-acquired pneumonia, colitis",A4151,0.9375943,0,0
W19XXXA,fall the patient will get benefit from the therapy,W06XXXD,0.90277696,0,0
Z8673,"TIA, hypercoaguability seen in ED for erythematous",L539,0.9195243,0,0
J910,"malignant pleural effusion, prompting Pulmonary",J910,0.9584568,1,1
R102,intermittent pelvic pain,R102,0.9333004,1,1
K654,sclerotic mesenteritis,K654,0.9793271,1,1
G931,Acute worsening of the chronic anoxic encephalopathy,J9621,0.9227439,0,0
I499,Cardiac arrhythmias with heart block,Q246,0.92707205,0,0
N186,ESRD: almost full HD,N186,0.89545625,1,1
M25561,pain to right knee,M25561,0.99639976,1,1
D72829,pneumonia as the patient has leukocytosis,J151,0.93265885,0,0
R112,"nausea and vomiting, multiple",R1111,0.92170656,0,1
M5136,Degenerative disc disease at C3,M50321,0.9466577,0,0
K219,GERD: Asymptomatic,R3121,0.9215558,0,0
K3580,acute appendicitis fever,R100,0.93552315,0,0
K3189,mild to moderate portal hypertensive gastropathy,K766,0.9239317,0,0
Z98890,wrist surgery,M25532,0.9111085,0,0
D72829,Acute severe leukocytosis,G361,0.9215819,0,0
I420,Ischemic congestive cardiomyopathy,I255,0.9833374,0,1
G2581,"restless legs , stomache ulcer ",G2581,0.9481716,1,1
J209,Acute  Vrial  bronchitis,J206,0.92893493,0,1
S383XXA,laceration of the inferior vena cava,S3511XD,0.96561563,0,0
A4901,therapy for MSSA,A4101,0.8958291,0,0
L0390,cellulitis with a diabetic,L03211,0.9485276,0,0
R112,"Intractable nausea and vomiting, likely esophagitis",R110,0.9266577,0,0
K9423,dislodged gastrostomy tube to the subcutaneous space,S31142S,0.9017415,0,0
E119,DM2 with gastroparesis,K3184,0.9222362,0,0
M21372,left foot drop,M21372,0.9906276,1,1
N200,left renal calculus,N200,0.94566226,1,1
Z98890,abdominal surgery,I7102,0.9161223,0,0
R232,face was flushed,R232,0.95009756,1,1
U071,persistent covid,R403,0.9142824,0,0
G43909,acute complex migraine,G4459,0.90938985,0,0
J988,severe airway obstruction,J4551,0.9289731,0,0
N1330,hydronephrosis - tumor,C641,0.9323966,0,0
F1910,Polysubstance abuse,F552,0.9017649,0,0
K921,"blood in stool, diarrhea.",R198,0.92090744,0,0
K922,upper gastrointestinal bleed with anemia,K2101,0.91991436,0,0
G8220,T4 Paraplegia,S14104D,0.9100956,0,0
W19XXXA,fall with k 7.6  urgent HD,W06XXXA,0.88901496,0,0
L89309,upper buttock pressure ulcer,L89310,0.9479456,0,0
R400,"loss of consciousness, tongue",S06389D,0.90848136,0,0
A419,sepsis due to cholecystitis,A403,0.9423496,0,0
I959,hypotension - likely from her liver disease,I952,0.9363159,0,0
A491,Group C strep,A401,0.90676695,0,0
J9690,Ventilator-dependent respiratory failure,Z9911,0.9519654,0,0
D72829,finger) elevated wbc,D72829,0.908369,1,1
